"time"	"celltype.target.size"	"celltype.infected.size"
0	9	1
1	9	1
2	9	1
3	9	1
4	9	1
5	9	1
6	9	1
7	9	1
8	9	1
9	9	1
10	9	1
11	8	2
12	8	2
13	7	3
14	7	3
15	7	3
16	7	3
17	7	3
18	7	3
19	7	3
20	7	3
21	7	3
22	7	3
23	7	3
24	7	3
25	7	3
26	7	3
27	7	3
28	7	3
29	7	3
30	7	3
31	7	3
32	7	3
33	7	3
34	7	3
35	7	3
36	7	3
37	7	3
38	7	3
39	7	3
40	7	3
41	7	3
42	7	3
43	7	3
44	6	4
45	6	4
46	6	4
47	6	4
48	6	4
49	5	5
50	4	6
51	3	7
52	3	7
53	2	8
54	2	8
55	1	9
56	1	9
57	1	9
58	1	9
59	0	10
60	0	10
61	0	10
62	0	10
63	0	10
64	0	10
65	0	10
66	0	10
67	0	10
68	0	10
69	0	10
70	0	10
71	0	10
72	0	10
73	0	10
74	0	10
75	0	10
76	0	10
77	0	10
78	0	10
79	0	10
80	0	10
81	0	10
82	0	10
83	0	10
84	0	10
85	0	10
86	0	10
87	0	10
88	0	10
89	0	10
90	0	10
91	0	10
92	0	10
93	0	10
94	0	10
95	0	10
96	0	10
97	0	10
98	0	10
99	0	10
100	0	10
