"time"	"celltype.target.size"	"celltype.infected.size"
0	9	1
1	9	1
2	9	1
3	9	1
4	9	1
5	9	1
6	9	1
7	9	1
8	9	1
9	9	1
10	9	1
11	9	1
12	9	1
13	9	1
14	9	1
15	9	1
16	9	1
17	9	1
18	9	1
19	9	1
20	9	1
21	9	1
22	9	1
23	9	1
24	9	1
25	9	1
26	9	1
27	9	1
28	9	1
29	9	1
30	9	1
31	9	1
32	9	1
33	9	1
34	9	1
35	9	1
36	9	1
37	9	1
38	9	1
39	9	1
40	9	1
41	9	1
42	9	1
43	9	1
44	9	1
45	9	1
46	9	1
47	9	1
48	8	2
49	8	2
50	8	2
51	8	2
52	8	2
53	8	2
54	8	2
55	8	2
56	8	2
57	8	2
58	7	3
59	7	3
60	7	3
61	6	4
62	6	4
63	6	4
64	6	4
65	6	4
66	6	4
67	6	4
68	6	4
69	6	4
70	6	4
71	6	4
72	6	4
73	6	4
74	6	4
75	6	4
76	6	4
77	6	4
78	6	4
79	6	4
80	6	4
81	6	4
82	6	4
83	6	4
84	6	4
85	6	4
86	6	4
87	6	4
88	6	4
89	6	4
90	6	4
91	6	4
92	6	4
93	6	4
94	6	4
95	6	4
96	6	4
97	6	4
98	6	4
99	6	4
100	6	4
