"time"	"celltype.target.size"	"celltype.infected.size"
0	9	1
1	9	1
2	9	1
3	9	1
4	9	1
5	9	1
6	9	1
7	9	1
8	9	1
9	9	1
10	9	1
11	9	1
12	9	1
13	9	1
14	9	1
15	9	1
16	8	2
17	8	2
18	8	2
19	8	2
20	8	2
21	8	2
22	7	3
23	7	3
24	7	3
25	7	3
26	7	3
27	7	3
28	6	4
29	5	5
30	5	5
31	5	5
32	3	7
33	3	7
34	3	7
35	3	7
36	3	7
37	3	7
38	3	7
39	3	7
40	3	7
41	3	7
42	3	7
43	1	9
44	1	9
45	1	9
46	1	9
47	1	9
48	1	9
49	1	9
50	1	9
51	1	9
52	0	10
53	0	10
54	0	10
55	0	10
56	0	10
57	0	10
58	0	10
59	0	10
60	0	10
61	0	10
62	0	10
63	0	10
64	0	10
65	0	10
66	0	10
67	0	10
68	0	10
69	0	10
70	0	10
71	0	10
72	0	10
73	0	10
74	0	10
75	0	10
76	0	10
77	0	10
78	0	10
79	0	10
80	0	10
81	0	10
82	0	10
83	0	10
84	0	10
85	0	10
86	0	10
87	0	10
88	0	10
89	0	10
90	0	10
91	0	10
92	0	10
93	0	10
94	0	10
95	0	10
96	0	10
97	0	10
98	0	10
99	0	10
100	0	10
