"time"	"celltype.target.size"	"celltype.infected.size"
0	9	1
1	9	1
2	9	1
3	9	1
4	9	1
5	9	1
6	9	1
7	9	1
8	9	1
9	9	1
10	9	1
11	9	1
12	9	1
13	9	1
14	9	1
15	9	1
16	9	1
17	9	1
18	9	1
19	9	1
20	9	1
21	9	1
22	9	1
23	9	1
24	9	1
25	9	1
26	9	1
27	9	1
28	9	1
29	9	1
30	9	1
31	9	1
32	9	1
33	9	1
34	9	1
35	9	1
36	9	1
37	9	1
38	9	1
39	9	1
40	9	1
41	9	1
42	9	1
43	9	1
44	9	1
45	9	1
46	9	1
47	9	1
48	9	1
49	9	1
50	9	1
51	9	1
52	9	1
53	9	1
54	9	1
55	9	1
56	9	1
57	9	1
58	9	1
59	9	1
60	9	1
61	9	1
62	8	2
63	8	2
64	8	2
65	8	2
66	8	2
67	8	2
68	8	2
69	8	2
70	8	2
71	8	2
72	8	2
73	8	2
74	8	2
75	8	2
76	8	2
77	8	2
78	8	2
79	8	2
80	8	2
81	8	2
82	8	2
83	8	2
84	8	2
85	8	2
86	8	2
87	8	2
88	8	2
89	8	2
90	8	2
91	8	2
92	8	2
93	8	2
94	8	2
95	8	2
96	8	2
97	8	2
98	8	2
99	8	2
100	8	2
