"time"	"celltype.target.size"	"celltype.infected.size"
0	9	1
1	9	1
2	9	1
3	9	1
4	9	1
5	9	1
6	9	1
7	9	1
8	9	1
9	9	1
10	9	1
11	9	1
12	9	1
13	9	1
14	9	1
15	9	1
16	9	1
17	9	1
18	9	1
19	9	1
20	9	1
21	9	1
22	8	2
23	8	2
24	8	2
25	8	2
26	8	2
27	8	2
28	8	2
29	8	2
30	7	3
31	7	3
32	7	3
33	7	3
34	7	3
35	7	3
36	7	3
37	7	3
38	7	3
39	7	3
40	7	3
41	7	3
42	6	4
43	6	4
44	6	4
45	5	5
46	5	5
47	5	5
48	5	5
49	5	5
50	4	6
51	4	6
52	4	6
53	4	6
54	4	6
55	4	6
56	4	6
57	4	6
58	3	7
59	2	8
60	2	8
61	2	8
62	0	10
63	0	10
64	0	10
65	0	10
66	0	10
67	0	10
68	0	10
69	0	10
70	0	10
71	0	10
72	0	10
73	0	10
74	0	10
75	0	10
76	0	10
77	0	10
78	0	10
79	0	10
80	0	10
81	0	10
82	0	10
83	0	10
84	0	10
85	0	10
86	0	10
87	0	10
88	0	10
89	0	10
90	0	10
91	0	10
92	0	10
93	0	10
94	0	10
95	0	10
96	0	10
97	0	10
98	0	10
99	0	10
100	0	10
