"time"	"celltype.target.size"	"celltype.infected.size"
0	9	1
1	9	1
2	9	1
3	9	1
4	9	1
5	9	1
6	9	1
7	9	1
8	9	1
9	9	1
10	9	1
11	9	1
12	8	2
13	8	2
14	8	2
15	8	2
16	8	2
17	8	2
18	8	2
19	8	2
20	8	2
21	8	2
22	8	2
23	8	2
24	8	2
25	7	3
26	7	3
27	7	3
28	7	3
29	7	3
30	7	3
31	7	3
32	7	3
33	7	3
34	7	3
35	7	3
36	7	3
37	7	3
38	6	4
39	6	4
40	6	4
41	6	4
42	6	4
43	6	4
44	6	4
45	6	4
46	6	4
47	6	4
48	6	4
49	6	4
50	6	4
51	6	4
52	6	4
53	5	5
54	5	5
55	5	5
56	5	5
57	5	5
58	5	5
59	5	5
60	5	5
61	5	5
62	5	5
63	5	5
64	5	5
65	5	5
66	4	6
67	3	7
68	3	7
69	2	8
70	2	8
71	2	8
72	2	8
73	2	8
74	2	8
75	2	8
76	2	8
77	2	8
78	2	8
79	2	8
80	2	8
81	2	8
82	2	8
83	1	9
84	1	9
85	1	9
86	1	9
87	1	9
88	1	9
89	1	9
90	1	9
91	1	9
92	1	9
93	1	9
94	1	9
95	1	9
96	0	10
97	0	10
98	0	10
99	0	10
100	0	10
