"time"	"celltype.target.size"	"celltype.infected.size"
0	9	1
1	9	1
2	9	1
3	9	1
4	9	1
5	9	1
6	9	1
7	9	1
8	9	1
9	9	1
10	9	1
11	9	1
12	9	1
13	9	1
14	9	1
15	9	1
16	9	1
17	9	1
18	9	1
19	9	1
20	9	1
21	9	1
22	9	1
23	9	1
24	9	1
25	9	1
26	9	1
27	9	1
28	9	1
29	8	2
30	8	2
31	8	2
32	8	2
33	8	2
34	8	2
35	8	2
36	8	2
37	8	2
38	8	2
39	7	3
40	7	3
41	6	4
42	6	4
43	5	5
44	5	5
45	5	5
46	4	6
47	3	7
48	3	7
49	1	9
50	1	9
51	1	9
52	1	9
53	1	9
54	1	9
55	1	9
56	1	9
57	1	9
58	1	9
59	1	9
60	1	9
61	0	10
62	0	10
63	0	10
64	0	10
65	0	10
66	0	10
67	0	10
68	0	10
69	0	10
70	0	10
71	0	10
72	0	10
73	0	10
74	0	10
75	0	10
76	0	10
77	0	10
78	0	10
79	0	10
80	0	10
81	0	10
82	0	10
83	0	10
84	0	10
85	0	10
86	0	10
87	0	10
88	0	10
89	0	10
90	0	10
91	0	10
92	0	10
93	0	10
94	0	10
95	0	10
96	0	10
97	0	10
98	0	10
99	0	10
100	0	10
