"time"	"celltype.target.size"	"celltype.infected.size"
0	9	1
1	9	1
2	9	1
3	9	1
4	9	1
5	9	1
6	9	1
7	9	1
8	9	1
9	9	1
10	9	1
11	9	1
12	9	1
13	9	1
14	9	1
15	9	1
16	9	1
17	9	1
18	9	1
19	9	1
20	9	1
21	9	1
22	9	1
23	9	1
24	9	1
25	9	1
26	9	1
27	9	1
28	9	1
29	9	1
30	9	1
31	9	1
32	9	1
33	9	1
34	9	1
35	9	1
36	9	1
37	9	1
38	9	1
39	9	1
40	9	1
41	9	1
42	9	1
43	9	1
44	9	1
45	9	1
46	9	1
47	9	1
48	9	1
49	9	1
50	9	1
51	8	2
52	8	2
53	8	2
54	8	2
55	8	2
56	8	2
57	8	2
58	8	2
59	8	2
60	8	2
61	8	2
62	7	3
63	7	3
64	7	3
65	5	5
66	4	6
67	4	6
68	3	7
69	2	8
70	2	8
71	2	8
72	0	10
73	0	10
74	0	10
75	0	10
76	0	10
77	0	10
78	0	10
79	0	10
80	0	10
81	0	10
82	0	10
83	0	10
84	0	10
85	0	10
86	0	10
87	0	10
88	0	10
89	0	10
90	0	10
91	0	10
92	0	10
93	0	10
94	0	10
95	0	10
96	0	10
97	0	10
98	0	10
99	0	10
100	0	10
