"time"	"celltype.target.size"	"celltype.infected.size"
0	9	1
1	9	1
2	9	1
3	9	1
4	9	1
5	9	1
6	9	1
7	9	1
8	9	1
9	9	1
10	9	1
11	9	1
12	9	1
13	9	1
14	9	1
15	8	2
16	8	2
17	8	2
18	8	2
19	8	2
20	7	3
21	6	4
22	4	6
23	3	7
24	2	8
25	0	10
26	0	10
27	0	10
28	0	10
29	0	10
30	0	10
31	0	10
32	0	10
33	0	10
34	0	10
35	0	10
36	0	10
37	0	10
38	0	10
39	0	10
40	0	10
41	0	10
42	0	10
43	0	10
44	0	10
45	0	10
46	0	10
47	0	10
48	0	10
49	0	10
50	0	10
51	0	10
52	0	10
53	0	10
54	0	10
55	0	10
56	0	10
57	0	10
58	0	10
59	0	10
60	0	10
61	0	10
62	0	10
63	0	10
64	0	10
65	0	10
66	0	10
67	0	10
68	0	10
69	0	10
70	0	10
71	0	10
72	0	10
73	0	10
74	0	10
75	0	10
76	0	10
77	0	10
78	0	10
79	0	10
80	0	10
81	0	10
82	0	10
83	0	10
84	0	10
85	0	10
86	0	10
87	0	10
88	0	10
89	0	10
90	0	10
91	0	10
92	0	10
93	0	10
94	0	10
95	0	10
96	0	10
97	0	10
98	0	10
99	0	10
100	0	10
