"time"	"celltype.target.size"	"celltype.infected.size"
0	9	1
1	9	1
2	9	1
3	9	1
4	9	1
5	9	1
6	9	1
7	9	1
8	9	1
9	9	1
10	9	1
11	9	1
12	9	1
13	9	1
14	9	1
15	9	1
16	9	1
17	9	1
18	9	1
19	9	1
20	9	1
21	9	1
22	9	1
23	9	1
24	9	1
25	9	1
26	9	1
27	9	1
28	9	1
29	9	1
30	9	1
31	9	1
32	9	1
33	9	1
34	9	1
35	9	1
36	9	1
37	9	1
38	9	1
39	9	1
40	9	1
41	9	1
42	9	1
43	9	1
44	9	1
45	9	1
46	9	1
47	9	1
48	9	1
49	9	1
50	9	1
51	9	1
52	9	1
53	9	1
54	9	1
55	9	1
56	9	1
57	9	1
58	9	1
59	9	1
60	9	1
61	9	1
62	9	1
63	9	1
64	9	1
65	9	1
66	9	1
67	9	1
68	9	1
69	9	1
70	9	1
71	9	1
72	9	1
73	9	1
74	9	1
75	9	1
76	9	1
77	9	1
78	9	1
79	9	1
80	9	1
81	9	1
82	9	1
83	9	1
84	9	1
85	9	1
86	9	1
87	9	1
88	9	1
89	9	1
90	9	1
91	9	1
92	9	1
93	9	1
94	9	1
95	9	1
96	9	1
97	9	1
98	9	1
99	9	1
100	8	2
